City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,howrah,22.5892,88.3103,30.0,54,40,3.09,IN,1708332003
1,albany,42.6001,-73.9662,-0.52,78,69,1.79,US,1708331748
2,bethel,41.3712,-73.414,0.27,62,0,2.57,US,1708332003
3,potosi,-19.5836,-65.7531,7.23,92,100,0.9,BO,1708332003
4,iqaluit,63.7506,-68.5145,-32.15,68,0,10.29,CA,1708332004
5,udachny,66.4167,112.4,-19.2,76,100,4.92,RU,1708332004
6,cabedelo,-6.9811,-34.8339,26.37,79,100,3.34,BR,1708332004
7,edinburgh of the seven seas,-37.0676,-12.3116,14.22,62,92,6.01,SH,1708332004
8,adamstown,-25.066,-130.1015,24.59,83,58,5.23,PN,1708332005
9,wailua homesteads,22.0669,-159.378,21.44,55,100,9.26,US,1708332005
10,bada,51.392,109.8717,-22.14,84,100,4.32,RU,1708332005
11,kudahuvadhoo,2.6708,72.8944,28.22,79,91,6.06,MV,1708332006
12,kirakira,-10.4544,161.9205,27.51,86,40,2.67,SB,1708332006
13,lorengau,-2.0226,147.2712,28.2,81,100,4.71,PG,1708332006
14,limulunga,-15.0969,23.1376,32.76,39,62,1.51,ZM,1708332006
15,st. john's,47.5649,-52.7093,-4.62,85,40,11.83,CA,1708332007
16,lebu,-37.6167,-73.65,13.21,87,9,5.86,CL,1708332007
17,puerto natales,-51.7236,-72.4875,10.45,96,100,1.22,CL,1708332007
18,blackmans bay,-43.0167,147.3167,16.07,68,21,0.45,AU,1708332007
19,erenhot,43.6475,111.9767,-15.29,49,8,2.72,CN,1708332008
20,kalianget,-7.05,113.9333,29.65,70,93,3.63,ID,1708332008
21,namanyere,-7.5167,31.05,17.3,98,100,0.64,TZ,1708332008
22,ushuaia,-54.8,-68.3,6.81,70,75,1.03,AR,1708332008
23,fort bragg,35.139,-79.006,3.23,68,40,0.89,US,1708331763
24,opuwo,-18.0607,13.84,30.05,18,62,0.94,NA,1708332009
25,grytviken,-54.2811,-36.5092,3.59,77,81,4.7,GS,1708332009
26,waitangi,-43.9535,-176.5597,17.68,92,5,4.02,NZ,1708332010
27,yellowknife,62.456,-114.3525,-20.71,71,75,2.06,CA,1708331762
28,rincon,32.296,-81.2354,3.8,87,0,0.0,US,1708332010
29,wuchang,44.9143,127.15,-13.1,89,100,2.32,CN,1708331959
30,west island,-12.1568,96.8225,30.99,70,75,5.14,CC,1708332011
31,port-aux-francais,-49.35,70.2167,5.91,78,100,7.07,TF,1708332011
32,papatowai,-46.5619,169.4708,8.49,85,80,9.25,NZ,1708332011
33,port elizabeth,-33.918,25.5701,28.94,71,40,6.69,ZA,1708332011
34,conception bay south,47.4999,-52.9981,-4.75,87,41,10.68,CA,1708332012
35,mirny,62.5353,113.9611,-27.65,68,100,4.02,RU,1708332012
36,ventspils,57.3894,21.5606,0.96,86,0,4.12,LV,1708332012
37,luorong,24.4058,109.6086,25.31,71,96,3.21,CN,1708332013
38,namibe,-15.1961,12.1522,27.23,74,92,3.2,AO,1708332013
39,new norfolk,-42.7826,147.0587,16.72,70,43,1.87,AU,1708332013
40,kiama,-34.6833,150.8667,20.88,95,100,0.45,AU,1708331717
41,nephi,39.7102,-111.8363,2.63,80,3,1.84,US,1708332014
42,afaahiti,-17.75,-149.2833,25.93,77,100,2.04,PF,1708332014
43,revuca,48.6835,20.1173,5.48,96,100,1.68,SK,1708332014
44,castillos,-34.1667,-53.8333,21.29,95,100,2.51,UY,1708332015
45,katsuura,35.1333,140.3,17.31,73,92,11.11,JP,1708332015
46,ismailia,30.6043,32.2723,17.04,51,0,4.63,EG,1708332015
47,ponta delgada,37.7333,-25.6667,15.4,94,20,2.57,PT,1708332015
48,manzhouli,49.6,117.4333,-25.11,87,18,7.13,CN,1708332016
49,san andres,12.5847,-81.7006,27.01,89,40,4.63,CO,1708332016
50,college,64.8569,-147.8028,-7.82,70,75,2.06,US,1708332016
51,remire-montjoly,4.9167,-52.2667,26.02,78,0,2.06,GF,1708332016
52,port lincoln,-34.7333,135.8667,24.02,55,77,5.27,AU,1708331778
53,chernyshevskiy,63.0128,112.4714,-24.06,96,100,4.98,RU,1708332017
54,kralendijk,12.15,-68.2667,26.34,86,17,11.01,BQ,1708332017
55,kirensk,57.7853,108.1119,-22.38,88,100,4.01,RU,1708332018
56,antalaha,-14.9003,50.2788,30.15,64,100,3.97,MG,1708332018
57,rongelap,11.1635,166.8941,26.16,82,92,7.17,MH,1708332018
58,gunnison,38.7,-107.0673,-12.34,96,66,1.39,US,1708332019
59,lame,10.4415,9.2396,29.28,11,4,1.31,NG,1708332019
60,invercargill,-46.4,168.35,10.57,72,90,7.6,NZ,1708332019
61,prince george,53.9166,-122.753,-5.77,91,40,0.0,CA,1708332019
62,stanley,54.868,-1.6985,8.77,88,20,8.23,GB,1708332020
63,el calafate,-50.3408,-72.2768,11.99,79,95,1.6,AR,1708332020
64,whitehorse,60.7161,-135.0538,-3.57,68,75,1.54,CA,1708332020
65,arlington,32.7357,-97.1081,5.76,62,0,2.57,US,1708331822
66,luderitz,-26.6481,15.1594,23.98,54,0,4.85,NA,1708332021
67,wanxian,30.8039,108.3897,17.29,76,100,2.71,CN,1708332021
68,kemijarvi,66.7131,27.4306,-12.98,90,32,3.27,FI,1708332021
69,georgetown,5.4112,100.3354,32.97,62,40,3.6,MY,1708331727
70,isafjordur,66.0755,-23.124,1.02,93,100,1.03,IS,1708332029
71,alindao,5.0267,21.2088,35.09,28,94,1.49,CF,1708332030
72,visby,57.6409,18.296,1.69,100,100,5.66,SE,1708332030
73,jincheng,35.5022,112.8328,1.77,92,100,1.36,CN,1708332030
74,maymana,35.9214,64.7836,1.11,69,82,4.26,AF,1708332031
75,bontang,0.1333,117.5,29.08,76,8,4.77,ID,1708332031
76,labytnangi,66.6572,66.4183,-8.57,91,100,7.68,RU,1708332032
77,okha,53.5739,142.9478,-19.19,96,100,4.21,RU,1708332032
78,smithers,54.7804,-127.1743,-0.82,86,100,0.0,CA,1708332032
79,qui nhon,13.7667,109.2333,25.88,79,5,4.34,VN,1708332033
80,phan rang-thap cham,11.5667,108.9833,28.99,60,15,4.52,VN,1708331868
81,avarua,-21.2078,-159.775,26.03,65,75,4.12,CK,1708332033
82,peterhead,57.5058,-1.7981,7.22,83,100,6.48,GB,1708332034
83,hawaiian paradise park,19.5933,-154.9731,20.73,77,100,3.09,US,1708332034
84,bredasdorp,-34.5322,20.0403,27.05,45,11,4.63,ZA,1708332034
85,olonkinbyen,70.9221,-8.7187,-0.72,94,53,6.04,SJ,1708332035
86,phongsali,21.6833,102.1058,26.66,9,0,2.85,LA,1708332035
87,puerto baquerizo moreno,-0.9,-89.6,26.36,84,86,4.63,EC,1708332035
88,holualoa,19.6228,-155.9522,20.91,63,0,6.17,US,1708332036
89,la passe,45.5549,-0.8967,10.13,87,77,3.29,FR,1708332036
90,kataysk,56.289,62.5841,-8.7,82,2,4.45,RU,1708332036
91,belmonte,-15.8631,-38.8828,25.37,90,99,5.75,BR,1708332037
92,kodiak,57.79,-152.4072,2.73,100,100,1.54,US,1708332038
93,tosontsengel,48.7567,98.2839,-22.71,75,14,1.35,MN,1708332038
94,alofi,-19.0595,-169.9187,26.94,83,100,7.72,NU,1708332038
95,nuku'alofa,-21.1333,-175.2,26.19,78,75,6.69,TO,1708332038
96,miandrivazo,-19.5167,45.4667,31.33,58,94,2.75,MG,1708332039
97,thunder bay,48.4001,-89.3168,-19.01,84,20,1.54,CA,1708331927
98,kyshtovka,56.555,76.6271,-23.14,92,67,3.13,RU,1708332040
99,hengchun,22.0042,120.7439,25.28,83,2,4.24,TW,1708332040
100,vadso,70.0744,29.7487,-0.91,80,75,9.77,NO,1708332040
101,ilulissat,69.2167,-51.1,-9.99,92,100,3.09,GL,1708332041
102,vangaindrano,-23.35,47.6,27.53,60,24,4.12,MG,1708332041
103,fortuna,40.5982,-124.1573,9.51,92,75,6.69,US,1708332042
104,tazacorte,28.629,-17.9293,19.54,60,20,4.63,ES,1708332042
105,tarawa,1.419,172.984,29.05,84,20,4.63,KI,1708332042
106,cabo san lucas,22.8909,-109.9124,18.2,48,0,3.77,MX,1708332042
107,thompson,55.7435,-97.8558,-26.91,76,40,1.03,CA,1708332043
108,novyy urengoy,66.0833,76.6333,-16.21,90,100,10.12,RU,1708332043
109,hammerfest,70.6634,23.6821,0.25,80,100,6.69,NO,1708332043
110,susuman,62.7833,148.1667,-29.45,87,100,1.34,RU,1708332043
111,vorgashor,67.5833,63.95,-10.93,91,100,8.26,RU,1708332043
112,keflavik,64.0049,-22.5624,3.95,93,40,3.6,IS,1708332044
113,kingston,17.997,-76.7936,25.53,84,20,0.51,JM,1708332044
114,acarau,-2.8856,-40.12,25.54,89,100,2.59,BR,1708332044
115,sur,22.5667,59.5289,24.45,58,33,6.35,OM,1708332044
116,minzhu,43.7286,127.3447,-10.82,85,100,4.13,CN,1708332045
117,hamilton,39.1834,-84.5333,-2.14,79,0,1.54,US,1708331962
118,broken hill,-31.95,141.4333,31.36,13,100,4.97,AU,1708332045
119,uturoa,-16.7333,-151.4333,27.8,78,100,2.87,PF,1708332045
120,oytal,42.9057,73.2697,-6.2,82,100,2.16,KZ,1708332045
121,egilsstadir,65.2653,-14.3948,0.95,93,75,1.03,IS,1708332046
122,piti village,13.4626,144.6933,26.03,86,100,6.69,GU,1708332046
123,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,38,0,2.0,RU,1708332046
124,margaret river,-33.95,115.0667,25.79,53,100,9.34,AU,1708332046
125,parnamirim,-5.9156,-35.2628,27.94,83,75,3.09,BR,1708332046
126,khandyga,62.6667,135.6,-32.65,100,100,0.69,RU,1708332047
127,port alfred,-33.5906,26.891,24.54,79,27,4.02,ZA,1708332047
128,adrar,20.5022,-10.0711,18.3,30,2,10.31,MR,1708332047
129,zuyevka,58.405,51.1335,-4.95,89,100,2.65,RU,1708332047
130,vila franca do campo,37.7167,-25.4333,15.23,93,13,2.21,PT,1708332048
131,yerofey pavlovich,53.9667,121.9667,-25.98,85,86,1.67,RU,1708332048
132,port mathurin,-19.6833,63.4167,26.55,75,89,7.53,MU,1708332048
133,atafu village,-8.5421,-172.5159,28.89,77,100,3.39,TK,1708331928
134,kununurra,-15.7667,128.7333,27.99,89,40,2.57,AU,1708332048
135,tolanaro,-25.0319,46.9987,27.04,78,40,8.23,MG,1708332049
136,minas de marcona,-15.2119,-75.1103,19.35,84,100,2.48,PE,1708332049
137,klyuchi,52.2667,79.1667,-20.64,82,73,3.31,RU,1708332049
138,plastun,44.7561,136.2939,-0.82,83,100,3.76,RU,1708332049
139,newtown,-33.8984,151.1775,20.64,87,75,3.6,AU,1708332050
140,ust-nera,64.5667,143.2,-33.0,97,100,0.54,RU,1708332050
141,bilibino,68.0546,166.4372,-29.89,78,8,2.75,RU,1708332050
142,ha'il,27.5219,41.6907,16.01,41,0,3.09,SA,1708332050
143,salalah,17.0151,54.0924,28.05,57,0,4.12,OM,1708332050
144,burgersdorp,-30.9977,26.3286,27.45,36,0,4.38,ZA,1708332051
145,port moresby,-9.4431,147.1797,24.55,91,100,2.64,PG,1708332051
146,mareeba,-17.0,145.4333,26.4,91,100,0.84,AU,1708332051
147,kapa'a,22.0752,-159.319,22.18,55,100,9.26,US,1708332052
148,alto barinas,8.5931,-70.2261,26.16,55,42,1.77,VE,1708332052
149,sao vicente,-23.9631,-46.3919,25.15,90,9,1.41,BR,1708332052
150,shengli,37.4564,118.4856,0.96,33,78,6.66,CN,1708332052
151,tuba city,36.135,-111.2399,6.53,62,2,1.4,US,1708332053
152,rio gallegos,-51.6226,-69.2181,11.03,82,20,1.03,AR,1708332053
153,fuxin,42.0156,121.6589,-7.56,21,2,6.89,CN,1708332053
154,aasiaat,68.7098,-52.8699,-16.4,100,100,1.68,GL,1708332053
155,tura,25.5198,90.2201,27.44,20,15,2.71,IN,1708332054
156,hilo,19.7297,-155.09,20.85,77,100,3.09,US,1708331909
157,shenyang,41.7922,123.4328,-6.99,49,0,6.0,CN,1708332054
158,longyearbyen,78.2186,15.6401,-14.09,72,75,6.17,SJ,1708332054
159,tazovsky,67.4667,78.7,-16.57,92,100,10.18,RU,1708332054
160,kavieng,-2.5744,150.7967,27.61,84,100,4.68,PG,1708332055
161,kimbe,-5.5502,150.1429,26.67,88,100,0.86,PG,1708332055
162,korets,50.6165,27.1605,0.59,54,100,4.82,UA,1708332055
163,muynoq,43.7683,59.0214,-1.28,50,100,7.32,UZ,1708332055
164,soio,-6.1349,12.3689,28.67,77,93,2.12,AO,1708332056
165,tiko,4.0745,9.3699,28.91,62,42,1.32,CM,1708332056
166,hermanus,-34.4187,19.2345,27.67,49,6,3.47,ZA,1708332056
167,lerwick,60.1545,-1.1494,9.0,87,100,8.08,GB,1708332056
168,pisco,-13.7,-76.2167,23.03,83,0,1.54,PE,1708332056
169,chonchi,-42.6128,-73.8092,15.56,87,0,1.95,CL,1708332057
170,saldanha,-33.0117,17.9442,28.03,46,5,2.2,ZA,1708332057
171,dauphin,51.1494,-100.0502,-17.92,85,0,1.54,CA,1708332057
172,as sulayyil,20.4607,45.5779,21.14,24,55,6.25,SA,1708332057
173,bokoro,12.3807,17.0568,31.64,12,99,4.28,TD,1708332058
174,bardai,11.65,7.2333,28.26,9,2,5.56,NG,1708332058
175,al jawf,29.5,38.75,15.19,39,0,0.74,SA,1708332058
176,sitka,57.0531,-135.33,6.94,81,100,0.0,US,1708332058
177,whakatane,-37.9585,176.9854,21.4,78,58,4.63,NZ,1708332058
178,kitimat,54.0524,-128.6534,2.21,94,47,1.18,CA,1708332059
179,zapolyarnyy,69.4154,30.8136,-4.4,92,100,8.56,RU,1708332059
180,lukolela,-1.0605,17.1821,25.96,74,100,1.76,CD,1708332059
181,lompoc,34.6391,-120.4579,14.94,93,100,4.02,US,1708332059
182,bubaque,11.2833,-15.8333,25.78,74,0,1.16,GW,1708332059
183,anadyr,64.75,177.4833,-12.72,71,40,8.0,RU,1708332060
184,port blair,11.6667,92.75,32.02,40,40,5.66,IN,1708331955
185,punta arenas,-53.15,-70.9167,10.06,81,20,2.06,CL,1708331920
186,ribeira grande,38.5167,-28.7,17.22,88,20,3.6,PT,1708332060
187,olyokminsk,60.3736,120.4264,-24.06,90,100,4.87,RU,1708332061
188,fale old settlement,-9.3852,-171.2468,28.77,78,77,5.57,TK,1708332061
189,san patricio,28.017,-97.5169,11.02,65,0,2.76,US,1708332062
190,rikaze,29.25,88.8833,10.67,10,90,7.48,CN,1708332062
191,la'ie,21.6477,-157.9253,22.98,56,26,4.02,US,1708332062
192,ellensburg,46.9965,-120.5479,3.07,85,100,1.79,US,1708332062
193,enewetak,11.3474,162.3373,26.25,72,65,7.75,MH,1708332062
194,washington,47.5001,-120.5015,2.41,78,99,0.75,US,1708331857
195,hithadhoo,-0.6,73.0833,28.74,79,98,6.24,MV,1708332063
196,metlili chaamba,32.2667,3.6333,11.52,62,0,4.63,DZ,1708332063
197,ghadamis,30.1337,9.5007,16.71,39,41,7.38,LY,1708332064
198,geraldton,-28.7667,114.6,36.23,28,89,8.23,AU,1708331936
199,cole harbour,44.6724,-63.4751,-3.29,92,90,5.36,CA,1708331819
200,satuek,15.297,103.2919,37.31,22,20,2.57,TH,1708332064
201,qaqortoq,60.7167,-46.0333,0.12,71,100,1.14,GL,1708332064
202,brumunddal,60.881,10.9395,-5.01,93,100,0.57,NO,1708332065
203,poronaysk,49.2167,143.1167,-6.57,97,100,1.52,RU,1708332065
204,xunchang,28.4543,104.715,22.82,37,0,3.2,CN,1708332065
205,biltine,14.5333,20.9167,30.16,10,95,6.62,TD,1708332065
206,ust-tsilma,65.441,52.1498,-6.33,92,98,4.02,RU,1708332066
207,kulhudhuffushi,6.6221,73.07,28.12,75,17,7.35,MV,1708332066
208,talnakh,69.4865,88.3972,-19.89,97,100,8.16,RU,1708332066
209,gucheng chengguanzhen,32.266,111.6348,6.7,68,100,5.11,CN,1708332066
210,kalmunai,7.4167,81.8167,28.15,74,69,5.05,LK,1708332066
211,chongjin,41.7956,129.7758,1.46,71,100,3.0,KP,1708332067
212,badger,64.8,-147.5333,-7.86,75,100,2.06,US,1708332067
213,yamada,39.4667,141.95,12.02,88,100,5.31,JP,1708332067
214,haiku-pauwela,20.9219,-156.3051,21.13,71,20,4.12,US,1708332068
215,necochea,-38.5473,-58.7368,17.86,95,39,0.57,AR,1708332068
216,carnarvon,-24.8667,113.6333,28.84,65,50,8.17,AU,1708332068
217,ingeniero jacobacci,-41.3427,-69.5448,18.72,40,0,1.3,AR,1708332069
218,smyshlyayevka,53.2391,50.3907,-7.42,94,100,6.75,RU,1708332069
219,happy valley-goose bay,53.3168,-60.3315,-18.83,71,40,5.66,CA,1708332069
220,papao,-17.75,-149.55,26.82,75,100,3.11,PF,1708332069
221,malabar,-33.9667,151.25,20.63,83,75,3.6,AU,1708332069
222,klotze,52.6167,11.1667,8.9,86,100,7.24,DE,1708332070
223,carolina beach,34.0352,-77.8936,3.03,80,99,3.94,US,1708332070
224,ondjiva,-17.0667,15.7333,31.36,14,95,2.37,AO,1708332070
225,kashgar,39.4547,75.9797,-4.44,80,100,1.0,CN,1708332071
226,chibuto,-24.6867,33.5306,32.87,39,19,6.03,MZ,1708332071
227,yuzhno-kurilsk,44.0306,145.8556,4.1,69,76,6.94,RU,1708332071
228,puyang chengguanzhen,35.7028,115.0053,5.93,39,100,5.32,CN,1708332072
229,argostolion,38.1811,20.489,14.86,61,75,0.0,GR,1708332072
230,alice springs,-23.7,133.8833,35.75,25,40,6.17,AU,1708332072
231,puerto ayora,-0.7393,-90.3518,23.08,100,100,1.79,EC,1708332072
232,dryden,49.7833,-92.7503,-18.84,84,0,2.06,CA,1708332073
233,borogontsy,62.6683,131.1683,-34.58,99,100,0.56,RU,1708332073
234,toliara,-23.35,43.6667,33.12,46,7,2.92,MG,1708332073
235,crane,31.3974,-102.3501,6.46,47,0,3.52,US,1708332073
236,malango,-2.9627,119.9001,24.85,92,75,0.44,ID,1708332074
237,jamestown,42.097,-79.2353,-2.77,75,99,5.36,US,1708331874
238,isla mujeres,21.2311,-86.731,18.03,86,19,5.74,MX,1708332074
239,lom,43.8139,23.2361,9.16,73,99,2.75,BG,1708332074
240,ebon,4.582,168.6964,27.99,79,58,6.77,MH,1708332075
241,kerikeri,-35.2268,173.9474,19.39,79,61,1.8,NZ,1708332075
242,saipan,15.1355,145.701,26.39,65,100,7.72,MP,1708332075
243,salinas,36.6777,-121.6555,14.24,91,100,4.12,US,1708332045
244,luocheng,29.3848,104.0286,22.24,36,6,2.3,CN,1708332078
245,n'zeto,-7.2312,12.8666,27.64,80,100,3.95,AO,1708332079
246,luanda,-8.8368,13.2343,30.0,79,75,2.57,AO,1708331882
247,at taj,24.2049,23.2857,17.66,32,5,6.12,LY,1708332079
248,vallenar,-28.5708,-70.7581,14.77,84,6,1.62,CL,1708332079
249,richards bay,-28.783,32.0377,27.32,61,84,4.43,ZA,1708332080
250,moyynkum,44.2914,72.9469,-9.52,48,98,10.86,KZ,1708332080
251,ketchikan,55.3422,-131.6461,6.99,87,100,0.0,US,1708332080
252,amga,60.8953,131.9608,-32.35,99,100,0.92,RU,1708332081
253,fort mcmurray,56.7268,-111.381,-13.23,72,0,2.57,CA,1708332081
254,aleksandrov gay,50.147,48.5704,-3.69,70,100,6.41,RU,1708332081
255,chios,38.3678,26.1358,10.92,76,20,6.69,GR,1708332081
256,gaspe,48.8334,-64.4819,-11.05,72,100,1.03,CA,1708332082
257,lensk,60.7253,114.9278,-24.1,92,100,6.83,RU,1708332082
258,kapadvanj,23.0167,73.0667,30.88,15,72,6.73,IN,1708332082
259,vlahita,46.35,25.5167,3.2,74,87,1.81,RO,1708332082
260,gadzhiyevo,69.2551,33.3362,-5.62,88,100,8.86,RU,1708332083
261,ca mau,9.1769,105.15,32.76,44,72,5.12,VN,1708332083
262,utrik,11.2278,169.8474,26.54,82,87,6.13,MH,1708332083
263,mount gambier,-37.8333,140.7667,17.97,71,100,4.79,AU,1708332084
264,raton,36.9034,-104.4391,0.34,51,0,4.12,US,1708332084
265,nago,26.5881,127.9761,24.24,77,93,3.81,JP,1708332084
266,prado,-17.3411,-39.2208,24.0,94,100,4.52,BR,1708332085
267,mahriz,31.5917,54.4318,10.28,36,2,1.57,IR,1708332085
268,mil'kovo,55.6078,37.7956,-4.21,90,80,2.58,RU,1708332085
269,patacamaya,-17.2333,-67.9167,8.27,85,100,2.09,BO,1708332086
270,lihue,21.9789,-159.3672,21.77,55,100,9.26,US,1708332086
271,island harbour,50.724,-1.2758,10.04,93,100,2.68,GB,1708332086
272,tiksi,71.6872,128.8694,-38.16,98,41,3.18,RU,1708332086
273,ostersund,63.1792,14.6357,-7.99,92,100,0.0,SE,1708332087
